ID;ICAO;Name;Country;Active
1479;BRV;Bravo Air Congo;Democratic Republic of the Congo;N
1480;BRW;Bright Aviation Services;Bulgaria;N
1481;BNF;Braniff International Airways;United States;N
1482;BRX;Buffalo Express Airlines;United States;N
1483;BRY;Burundayavia;Kazakhstan;N
1484;BSC;Bistair - Fez;Kyrgyzstan;N
1485;BSD;Blue Star Airlines;Mexico;N
1486;BSI;Brasair Transportes Aereos;Brazil;N
1487;BSJ;Blue Swann Aviation;United Kingdom;N
1488;BSM;Blue Sky Aviation;Lebanon;N
1489;BSS;Bissau Aero Transporte;Guinea-Bissau;N
1490;BST;Best Air;Turkey;N
1491;BSW;Blue Sky Airways;Czech Republic;N
1492;BSY;Big Sky Airlines;United States;N
1493;BTC;BAL Bashkirian Airlines;Russia;N
1494;BTH;Baltijas Helicopters;Latvia;N
1495;BTK;Baltyka;Ukraine;N
1496;BTL;Baltia Air Lines;United States;N
1497;BTR;Botir-Avia;Kyrgyzstan;N
1498;GAA;Business Express;United States;N
1499;BTT;BT-Slavuta;Ukraine;N
1500;BTV;Metro Batavia;Indonesia;Y
1501;BUC;Bulgarian Air Charter;Bulgaria;N
1502;BUL;Blue Airlines;Democratic Republic of the Congo;N
1503;BUN;Buryat Airlines Aircompany;Russia;N
1504;BUZ;Buzz Stansted;United Kingdom;N
1505;BVA;Buffalo Airways;United States;N
1506;BVC;Bulgarian Aeronautical Centre;Bulgaria;N
1507;BVN;Baron Aviation Services;United States;N
1508;BVT;Berjaya Air;Malaysia;Y
1509;BVU;Bellview Airlines;Desconocido;N
1510;BWG;Blue Wings;Germany;Y
1511;BWI;Blue Wing Airlines;Suriname;N
1512;BWL;BWA (2002) Ltd;United Kingdom;N
1513;BXA;Bahrain Executive Air Services;Bahrain;N
1514;BXH;Bar XH Air;Canada;N
1515;BXI;Brussels International Airlines;Belgium;N
1517;BXR;Redding Aero Enterprises;United States;N
1518;BYA;Berry Aviation;United States;N
1519;BYL;Bylina Joint-Stock Company;Russia;N
1520;BYR;Berytos Airlines;Lebanon;N
1521;BYE;Bayu Indonesia Air;Indonesia;N
1522;BZA;Bizair Fluggesellschaft;Germany;N
1523;BZH;Brit Air;France;Y
1524;BZZ;Butane Buzzard Aviation Corporation;United Kingdom;N
1525;AUJ;Business Flight Salzburg;Austria;N
1526;CKM;BKS Air (Rivaflecha);Spain;N
1527;CLF;Bristol Flying Centre;United Kingdom;N
1528;CLN;Barnes Olsen Aeroleasing;United Kingdom;N
1529;CPJ;Baltimore Air Transport;United States;N
1530;CXS;Boston-Maine Airways;United States;N
1531;DAT;Brussels Airlines;Belgium;Y
1532;EAH;Baltimore Airways;United States;N
1533;EBA;Bond Aviation;Italy;N
1534;EXB;Brazilian Army Aviation;Brazil;N
1535;EXP;Business Express Delivery;Canada;N
1536;FOS;Bel Limited;Russia;N
1537;HAW;Bangkok Aviation Center;Thailand;N
1538;HAX;Benair;Norway;N
1539;IBB;Binter Canarias;Spain;Y
1540;IRJ;Bonyad Airlines;Iran;N
1541;IVR;Burundaiavia;Kazakhstan;N
1542;JOR;Blue Air;Romania;Y
1543;LAJ;British Mediterranean Airways;United Kingdom;Y
1544;LBY;Belle Air;Albania;N
1545;LED;Blom Geomatics;Norway;N
1546;LTL;Benin Littoral Airways;Benin;N
1547;LXJ;Bombardier Business Jet Solutions;United States;N
1548;LZB;Bulgaria Air;Bulgaria;Y
1549;MBR;Brazilian Navy Aviation;Brazil;N
1550;NKF;Barents AirLink;Sweden;Y
1551;NYB;Belgian Navy;Belgium;N
1552;OGJ;Bakoji Airlines Services;Nigeria;N
1553;PEB;Benders Air;Sweden;N
1554;PNT;Balmoral Central Contracts;South Africa;N
1555;POI;BGB Air;Kazakhstan;N
1556;PPS;Butte Aviation;United States;N
1557;RHD;Bond Air Services;United Kingdom;N
1558;RLR;Business Airfreight;United States;N
1559;RPX;BAC Express Airlines;United Kingdom;N
1560;RRS;Boscombe Down DERA (Formation);United Kingdom;N
1561;SCJ;Business Jet Sweden;Sweden;N
1562;SHT;British Airways Shuttle;United Kingdom;N
1563;SKH;British Sky Broadcasting;United Kingdom;N
1564;TXB;Bell Helicopter Textron;Canada;N
1565;UKA;Buzzaway Limited;United Kingdom;N
